Time,Temperature
12:58:59:437142,MAX31856 thermocouple test
12:58:59:440623,Thermocouple type: K Type
12:58:59:440893,295.24
12:58:59:479155,295.27
12:58:59:562147,295.27
12:58:59:644144,295.30
12:58:59:726219,295.17
12:58:59:808320,295.26
12:58:59:890473,295.24
12:58:59:973188,295.22
12:59:0:55393,295.28
12:59:0:137560,295.32
12:59:0:220269,295.28
12:59:0:302773,295.24
12:59:0:385033,295.24
12:59:0:467697,295.27
12:59:0:549813,295.27
12:59:0:631902,295.32
12:59:0:714246,295.30
12:59:0:810095,295.26
12:59:0:892370,295.22
12:59:0:974176,295.31
12:59:1:56416,295.31
12:59:1:138883,295.30
12:59:1:221172,295.26
12:59:1:303487,295.24
12:59:1:386122,295.24
12:59:1:468269,295.24
12:59:1:550661,295.26
12:59:1:632892,295.27
12:59:1:715049,295.26
12:59:1:797590,295.27
12:59:1:879878,295.30
12:59:1:961887,295.27
12:59:2:44131,295.26
12:59:2:139875,295.24
12:59:2:222279,295.24
12:59:2:304564,295.32
12:59:2:387231,295.32
12:59:2:469581,295.26
12:59:2:551865,295.26
12:59:2:634206,295.28
12:59:2:716593,295.21
12:59:2:798924,295.24
12:59:2:881145,295.21
12:59:2:963562,295.24
12:59:3:45879,295.24
12:59:3:128124,295.17
12:59:3:210178,295.30
12:59:3:292352,295.31
12:59:3:374889,295.21
12:59:3:470828,295.27
12:59:3:553076,295.32
12:59:3:635377,295.26
12:59:3:717605,295.30
12:59:3:799752,295.21
12:59:3:881949,295.26
12:59:3:964620,295.28
12:59:4:46662,295.31
12:59:4:129109,295.26
12:59:4:211408,295.28
12:59:4:293514,295.20
12:59:4:376740,295.15
12:59:4:458780,295.24
12:59:4:540802,295.26
12:59:4:623301,295.21
12:59:4:705419,295.24
12:59:4:800874,295.24
12:59:4:883451,295.22
12:59:4:965771,295.26
12:59:5:47854,295.32
12:59:5:130633,295.26
12:59:5:212653,295.24
12:59:5:295267,295.26
12:59:5:377077,295.20
12:59:5:459456,295.24
12:59:5:541778,295.24
12:59:5:623969,295.27
12:59:5:706242,295.26
12:59:5:788716,295.21
12:59:5:871297,295.28
12:59:5:953214,295.24
12:59:6:35930,295.27
12:59:6:131281,295.24
12:59:6:213808,295.28
12:59:6:296163,295.35
12:59:6:378765,295.26
12:59:6:460647,295.27
12:59:6:543231,295.30
12:59:6:625451,295.35
12:59:6:707407,295.24
12:59:6:790172,295.24
12:59:6:872438,295.35
12:59:6:954808,295.26
12:59:7:37207,295.24
12:59:7:119184,295.24
12:59:7:201787,295.27
12:59:7:284176,295.27
12:59:7:366516,295.27
12:59:7:461770,295.27
12:59:7:543986,295.32
12:59:7:626431,295.30
12:59:7:708845,295.26
12:59:7:791420,295.24
12:59:7:873859,295.26
12:59:7:955982,295.30
12:59:8:38294,295.27
12:59:8:120682,295.26
12:59:8:202473,295.27
12:59:8:285338,295.28
12:59:8:367379,295.26
12:59:8:449967,295.28
12:59:8:532251,295.24
12:59:8:614446,295.26
12:59:8:696887,295.27
12:59:8:792884,295.26
12:59:8:874513,295.30
12:59:8:956991,295.27
12:59:9:39400,295.27
12:59:9:121743,295.28
12:59:9:204223,295.26
12:59:9:286082,295.24
12:59:9:368744,295.28
12:59:9:451050,295.30
12:59:9:533102,295.27
12:59:9:615317,295.24
12:59:9:697622,295.24
12:59:9:780120,295.24
12:59:9:862252,295.24
12:59:9:945231,295.21
12:59:10:27409,295.24
12:59:10:123031,295.22
12:59:10:205200,295.13
12:59:10:287183,295.22
12:59:10:369483,295.21
12:59:10:452131,295.27
12:59:10:534462,295.22
12:59:10:617106,295.26
12:59:10:698840,295.30
12:59:10:781100,295.33
12:59:10:863416,295.30
12:59:10:945891,295.30
12:59:11:28332,295.30
12:59:11:111036,295.32
12:59:11:193052,295.30
12:59:11:275338,295.24
12:59:11:357354,295.27
12:59:11:453236,295.24
12:59:11:535207,295.27
12:59:11:617556,295.27
12:59:11:699887,295.27
12:59:11:782271,295.26
12:59:11:864803,295.20
12:59:11:947524,295.30
12:59:12:29742,295.30
12:59:12:111936,295.24
12:59:12:194244,295.21
12:59:12:276624,295.22
12:59:12:358321,295.21
12:59:12:440869,295.27
12:59:12:523370,295.21
12:59:12:605617,295.27
12:59:12:687733,295.28
12:59:12:784143,295.24
12:59:12:865927,295.26
12:59:12:948448,295.30
12:59:13:30345,295.28
12:59:13:112668,295.28
12:59:13:195480,295.26
12:59:13:277680,295.26
12:59:13:359643,295.21
12:59:13:442201,295.21
12:59:13:524997,295.24
12:59:13:606658,295.26
12:59:13:689154,295.22
12:59:13:771798,295.28
12:59:13:853769,295.26
12:59:13:935841,295.26
12:59:14:18202,295.24
12:59:14:114787,295.24
12:59:14:196367,295.26
12:59:14:278650,295.26
12:59:14:361071,295.24
12:59:14:442960,295.28
12:59:14:525565,295.26
12:59:14:607885,295.20
12:59:14:690332,295.24
12:59:14:772366,295.21
12:59:14:854987,295.24
12:59:14:937322,295.28
12:59:15:19394,295.26
12:59:15:102092,295.24
12:59:15:184108,295.24
12:59:15:266558,295.22
12:59:15:348724,295.21
12:59:15:444515,295.28
12:59:15:526903,295.26
12:59:15:609309,295.21
12:59:15:691648,295.28
12:59:15:773716,295.32
12:59:15:856007,295.26
12:59:15:938217,295.27
12:59:16:20503,295.21
12:59:16:103050,295.28
12:59:16:185348,295.26
12:59:16:267845,295.24
12:59:16:349788,295.26
12:59:16:432364,295.27
12:59:16:514333,295.28
12:59:16:596610,295.24
12:59:16:679306,295.20
12:59:16:774895,295.31
12:59:16:857083,295.26
12:59:16:939273,295.20
12:59:17:21594,295.26
12:59:17:104190,295.22
12:59:17:186361,295.17
12:59:17:269129,295.27
12:59:17:351434,295.21
12:59:17:433627,295.24
12:59:17:515977,295.28
12:59:17:598412,295.26
12:59:17:680110,295.22
12:59:17:763334,295.26
12:59:17:845180,295.20
12:59:17:927382,295.24
12:59:18:9835,295.30
12:59:18:105742,295.27
12:59:18:187348,295.22
12:59:18:269967,295.27
12:59:18:352103,295.32
12:59:18:434703,295.30
12:59:18:517463,295.30
12:59:18:598866,295.26
12:59:18:681648,295.15
12:59:18:764326,295.28
12:59:18:846098,295.32
12:59:18:928109,295.28
12:59:19:10798,295.22
12:59:19:93451,295.26
12:59:19:175249,295.24
12:59:19:257836,295.24
12:59:19:340226,295.27
12:59:19:435974,295.21
12:59:19:518059,295.32
12:59:19:600609,295.32
12:59:19:682979,295.26
12:59:19:765031,295.20
12:59:19:847885,295.27
12:59:19:929935,295.27
12:59:20:12592,295.19
12:59:20:94562,295.30
12:59:20:176397,295.30
12:59:20:259011,295.27
12:59:20:341498,295.30
12:59:20:423551,295.26
12:59:20:505854,295.22
12:59:20:588370,295.24
12:59:20:670205,295.27
12:59:20:766415,295.24
12:59:20:848469,295.17
12:59:20:931039,295.22
12:59:21:13183,295.30
12:59:21:95415,295.30
12:59:21:177920,295.21
12:59:21:259873,295.19
12:59:21:342173,295.19
12:59:21:424989,295.26
12:59:21:506783,295.32
12:59:21:589123,295.28
12:59:21:671430,295.20
12:59:21:753788,295.26
12:59:21:836422,295.24
12:59:21:918527,295.26
12:59:22:1104,295.26
12:59:22:96582,295.24
12:59:22:178921,295.17
12:59:22:261177,295.21
12:59:22:343937,295.26
12:59:22:425574,295.27
12:59:22:508639,295.19
12:59:22:590737,295.20
12:59:22:673075,295.17
12:59:22:754754,295.24
12:59:22:837451,295.24
12:59:22:919852,295.26
12:59:23:1843,295.19
12:59:23:84930,295.22
12:59:23:166557,295.27
12:59:23:249000,295.26
12:59:23:331546,295.26
12:59:23:427049,295.28
12:59:23:509426,295.26
12:59:23:591552,295.26
12:59:23:674087,295.24
12:59:23:756306,295.24
12:59:23:838612,295.24
12:59:23:921103,295.27
12:59:24:3607,295.20
12:59:24:85704,295.24
12:59:24:168226,295.26
12:59:24:250276,295.21
