Time,Temperature
00:08:32.464,297.64
00:08:32.546,297.66
00:08:32.628,297.63
00:08:32.710,297.60
00:08:32.793,297.66
00:08:32.875,297.70
00:08:32.958,297.72
00:08:33.040,297.67
00:08:33.122,297.70
00:08:33.205,297.74
00:08:33.300,297.74
00:08:33.385,297.79
00:08:33.465,297.74
00:08:33.547,297.75
00:08:33.630,297.77
00:08:33.712,297.72
00:08:33.794,297.75
00:08:33.876,297.68
00:08:33.959,297.70
00:08:34.041,297.67
00:08:34.124,297.77
00:08:34.206,297.73
00:08:34.288,297.73
00:08:34.371,297.70
00:08:34.453,297.70
00:08:34.535,297.61
00:08:34.631,297.70
00:08:34.714,297.74
00:08:34.796,297.78
00:08:34.878,297.81
00:08:34.960,297.84
00:08:35.043,297.84
00:08:35.125,297.84
00:08:35.207,297.81
00:08:35.290,297.84
00:08:35.372,297.83
00:08:35.454,297.79
00:08:35.537,297.86
00:08:35.619,297.98
00:08:35.701,297.92
00:08:35.783,297.84
00:08:35.866,297.92
00:08:35.962,297.81
00:08:36.044,297.83
00:08:36.126,297.83
00:08:36.209,297.88
00:08:36.291,297.89
00:08:36.373,297.92
00:08:36.456,297.84
00:08:36.538,297.90
00:08:36.620,297.86
00:08:36.703,297.86
00:08:36.785,297.90
00:08:36.867,297.86
00:08:36.950,297.85
00:08:37.032,297.86
00:08:37.114,297.90
00:08:37.196,297.98
00:08:37.292,297.96
00:08:37.375,297.99
00:08:37.457,297.99
00:08:37.539,297.95
00:08:37.622,297.95
00:08:37.704,297.92
00:08:37.786,297.94
00:08:37.869,297.99
00:08:37.951,298.00
00:08:38.033,298.00
00:08:38.116,297.95
00:08:38.198,298.00
00:08:38.280,297.90
00:08:38.362,297.96
00:08:38.445,297.92
00:08:38.527,297.92
00:08:38.623,297.92
00:08:38.705,298.00
00:08:38.787,297.98
00:08:38.870,297.92
00:08:38.952,297.94
00:08:39.035,297.92
00:08:39.117,297.96
00:08:39.199,297.88
00:08:39.281,297.92
00:08:39.364,297.90
00:08:39.446,297.85
00:08:39.529,297.92
00:08:39.611,297.86
00:08:39.693,297.88
00:08:39.776,297.90
00:08:39.858,297.89
00:08:39.954,297.90
00:08:40.036,297.96
00:08:40.118,297.95
00:08:40.201,297.92
00:08:40.283,297.92
00:08:40.365,297.94
00:08:40.447,297.96
00:08:40.530,297.95
00:08:40.612,297.98
00:08:40.695,298.00
00:08:40.777,298.02
00:08:40.859,298.06
00:08:40.941,298.01
00:08:41.024,298.02
00:08:41.106,298.06
00:08:41.189,298.13
00:08:41.284,298.13
00:08:41.366,298.10
00:08:41.449,298.17
00:08:41.531,298.14
00:08:41.613,298.17
00:08:41.696,298.17
00:08:41.778,298.25
00:08:41.860,298.20
